A,B,C,D,,,,,,,,,E,F,G,H,I,J
STT,Phần,Tên chức năng,Mô tả,Thành viên chỉnh sửa các chức năng,T.Anh,Hiệp,Huy,Đan,Hùng,Đoàn,Mạnh,Mức độ,Đầu vào và điều kiện,Đầu ra mong đợi,Phân tích CHI TIÊT luồng chức năng chính,Luồng phụ,Lưu ý
1,Client,Đăng nhập hệ thống,"- Chức năng cho phép người dùng (khách hàng hoặc quản trị viên) :
 + Đăng nhập vào hệ thống bằng tài khoản đã đăng ký trước đó để truy cập các tính năng phù hợp với vai trò.
",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE, Yêu cầu bắt buộc,"- email/ username (string, required, email)
- password (string, required, minLength: 6)","Thông báo Thất bại (Sai tài khoản, Sai mật khẩu, Tài khoản bị khóa, ...)
Thông báo Thành công (Chuyển về trang chủ hoặc Trang quản trị viên nếu là Admin; session hoặc token được tạo)","1. Người dùng truy cập trang đăng nhập
2. Nhập email và mật khẩu
3. Nhấn nút “Đăng nhập”
4. Hệ thống kiểm tra thông tin đầu vào (không được rỗng, đúng định dạng)
5. Hệ thống truy vấn CSDL để kiểm tra tài khoản theo email
6. Nếu tài khoản tồn tại, kiểm tra mật khẩu (so sánh với mật khẩu đã mã hóa)
7. Kiểm tra trạng thái tài khoản (active hay bị khóa)
8. Nếu hợp lệ → tạo session hoặc JWT token, lưu thông tin đăng nhập
9. Chuyển hướng người dùng về trang phù hợp với vai trò (user → trang chủ, admin → dashboard)
10. Hiển thị thông báo đăng nhập thành công","3a. Bỏ trống email/mật khẩu: Hiển thị thông báo yêu cầu nhập đầy đủ
3b. Sai định dạng email: Hiển thị thông báo “Email không hợp lệ”
3. Tài khoản không tồn tại: Hiển thị thông báo “Tài khoản không tồn tại”
4. Mật khẩu sai: Hiển thị thông báo “Email hoặc mật khẩu không đúng”
5. Tài khoản bị khóa: Hiển thị thông báo “Tài khoản của bạn đã bị khóa”
6. Lỗi hệ thống: Hiển thị “Đã xảy ra lỗi. Vui lòng thử lại sau.”",
2,,"Đăng ký, đăng nhập","- Đăng ký tài khoản:
 + Đăng ký bằng tài khoản và mật khẩu

- Đăng nhập bằng tài khoản đã đăng ký::
 + Đăng nhập bằng tài khoản và mật khẩu",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
3,,,"- Đăng ký tài khoản:
 + Đăng ký bằng email hoặc số điện thoại

- Đăng nhập tài khoản đã đăng ký:
 + Đăng nhập bằng email hoặc SĐT
 + Đăng nhập bằng bên thứ ba (Facebook, Zalo,.Google,...)",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Có thể làm,,,,,
4,,Quản lý thông tin,"- Xem thông tin chi tiết tài khoản
- Cập nhật thông tin tài khoản:
 + Thay đổi Họ Tên
 + Thay đổi Email
 + Thay đổi Số Điện Thoại
 + Thay đổi Giới Tính
 + Thay đổi Mật Khẩu
 + Thay đổi Hình Đại Diện (Avatar)",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
5,,Trang chủ,"- Danh Mục Sản Phẩm 
- Sản Phẩm bán chạy
- Sản Phẩm gợi ý.
- Sản Phẩm mới nhất.
- Sản Phẩm giảm giá
- Sản Phẩm có nhiều  lượt xem (lượt truy cập)
- Top 5 Sản Phẩm được yêu thích nhất",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
6,,Sản phẩm,"- Danh sách sản phẩm (Gồm có phân trang, bộ lọc, tìm kiếm,...)
 + Sắp xếp theo giá lượt xem, lượt mua, lượt đánh giá, hãng, giá tiền, ... *
 + Bộ lọc sản phẩm",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
7,,,- Danh sách Sản Phẩm yêu thích,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Nâng cao,,,,,
8,,"Tin tức, Liên hệ"," - Danh sách Tin Tức
- Chi tiết Tin Tức

- Thông tin liên hệ (Liên hệ qua Facebook, Zalo)
- Gửi thông tin liên hệ của mình cho cửa hàng.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
9,,Chi tiết sản phẩm,"- Hiển thị thông tin chi tiết sản phẩm (tên, mô tả, giá bán, tồn kho, thông tin biến thể,...)
- Add cart: (số lượng mua <= số lượng tồn kho của biến thể)
- Mua ngay",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
10,,Bình luận,"- Hiển thị bình luận tại trang chi tiết sản phẩm

- Bình luận sản phẩm

- Báo cáo bình luận *
- Ẩn bình luận *
- Dịch bình luận *",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
11,,Đánh giá,"- Hiển thị danh sách đánh giá sản phẩm
- Đánh giá sản phẩm tại trang chi tiết sản phẩm *
- Thêm đánh giá
- Ẩn đánh giá",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
12,,Quản lý giỏ hàng,"- Danh sách sản phẩm 
 + Bao gồm: Tên sản phẩm, thông tin biến thể, số lượng, đơn giá, thành tiền,...

 + Cập nhật số lượng sản phẩm trong giỏ *
 + Validate số lượng sản phẩm còn lại trong Kho*
- Tăng giảm số lượng (cần validate số lượng tồn của sản phẩm)
- Xóa sản phẩm (xóa 1 hoặc xóa nhiều)
-  Chọn sản phẩm để thanh toán (Tính tổng tiền)
- Click tên sản phẩm -> Chi tiết sản phẩm

- Áp dụng voucher cho sản phẩm trong giỏ hàng *
- Tính được tổng tiền của đơn hàng trong giỏ hàng *
- Gửi email hoặc mess sau khi đặt hàng thành công",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
13,,Thanh toán,"- Kiểm tra thỏa mãn số lượng mua của các sản phẩm <= số lượng tồn kho

- Thông tin (địa chỉ, số điện thoại, email): 
 + Fill sẵn theo thông tin của account, nhập mới
 + Khi đặt hàng, người dùng chọn địa chỉ có sẵn để fill ra thay vì nhập tay*

- Thanh toán online(VNPAY, MOMO)
- Thanh toán COD
- Thêm mã giảm giá (Nơi xuất hiện mã giảm giá)
- Trừ số lượng trong kho hàng nếu đặt hàng thành công !

- Thanh toán thành công: 
 + Loại bỏ sản phẩm đã thanh toán trong giỏ hàng, 
 + Gửi mail thông báo đơn hàng thanh toán thành công

- Thanh toán thất bại: 
 + Giữ nguyên sản phẩm trong giỏ hàng",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yêu cầu bắt buộc,,,,,
14,,,- Không cần đăng nhập vẫn có thể thanh toán,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Nâng cao,,,,,
15,,,- Điểm thưởng đơn hàng *,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Nâng cao,,,,,
